id,title,keywords,cast,genres,director
19995,Avatar,culture clash future space war space colony society,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,Action Adventure Fantasy Science Fiction,James Cameron
285,Pirates of the Caribbean: At World's End,ocean drug abuse exotic island east india trading company love of one's life,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Adventure Fantasy Action,Gore Verbinski
206647,Spectre,spy based on novel secret agent sequel mi6,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Action Adventure Crime,Sam Mendes
49026,The Dark Knight Rises,dc comics crime fighter terrorist secret identity burglar,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Action Crime Drama Thriller,Christopher Nolan
49529,John Carter,based on novel mars medallion space travel princess,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Action Adventure Science Fiction,Andrew Stanton
559,Spider-Man 3,dual identity amnesia sandstorm love of one's life forgiveness,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Fantasy Action Adventure,Sam Raimi
38757,Tangled,hostage magic horse fairy tale musical,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Animation Family,Byron Howard
99861,Avengers: Age of Ultron,marvel comic sequel superhero based on comic book vision,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Action Adventure Science Fiction,Joss Whedon
767,Harry Potter and the Half-Blood Prince,witch magic broom school of witchcraft wizardry,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,Adventure Fantasy Family,David Yates
209112,Batman v Superman: Dawn of Justice,dc comics vigilante superhero based on comic book revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Action Adventure Fantasy,Zack Snyder
1452,Superman Returns,saving the world dc comics invulnerability sequel superhero,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Adventure Fantasy Action Science Fiction,Bryan Singer
10764,Quantum of Solace,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Adventure Action Thriller Crime,Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,witch fortune teller bondage exotic island monster,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Adventure Fantasy Action,Gore Verbinski
57201,The Lone Ranger,texas horse survivor texas ranger partner,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Action Adventure Western,Gore Verbinski
49521,Man of Steel,saving the world dc comics superhero based on comic book superhuman,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Action Adventure Fantasy Science Fiction,Zack Snyder
2454,The Chronicles of Narnia: Prince Caspian,based on novel fictional place brother sister relationship lion human being,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Adventure Family Fantasy,Andrew Adamson
24428,The Avengers,new york shield marvel comic superhero based on comic book,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Science Fiction Action Adventure,Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime minister,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Adventure Action Fantasy,Rob Marshall
41154,Men in Black 3,time travel time machine alien fictional government agency seeing the future,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Action Comedy Science Fiction,Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth (tolkien),Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Action Adventure Fantasy,Peter Jackson
1930,The Amazing Spider-Man,loss of father vigilante serum marvel comic scientific experiment,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Action Adventure Fantasy,Marc Webb
20662,Robin Hood,robin hood archer knight sherwood forest bow and arrow,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Action Adventure,Ridley Scott
57158,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Adventure Fantasy,Peter Jackson
2268,The Golden Compass,england compass experiment lordship uncle,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Adventure Fantasy,Chris Weitz
254,King Kong,film business screenplay show business film making film producer,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Adventure Drama Action,Peter Jackson
597,Titanic,shipwreck iceberg ship panic titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,Drama Romance Thriller,James Cameron
271110,Captain America: Civil War,civil war war marvel comic sequel superhero,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Adventure Action Science Fiction,Anthony Russo
44833,Battleship,fight u.s. navy mind reading hong kong soccer,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Thriller Action Adventure Science Fiction,Peter Berg
135397,Jurassic World,monster dna tyrannosaurus rex velociraptor island,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Action Adventure Science Fiction Thriller,Colin Trevorrow
37724,Skyfall,spy secret agent sociopath killer art gallery,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Action Adventure Thriller,Sam Mendes
558,Spider-Man 2,dual identity love of one's life pizza boy marvel comic sequel,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Action Adventure Fantasy,Sam Raimi
68721,Iron Man 3,terrorist war on terror tennessee malibu marvel comic,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Action Adventure Science Fiction,Shane Black
12155,Alice in Wonderland,based on novel fictional place queen fantasy alice in wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Family Fantasy Adventure,Tim Burton
36668,X-Men: The Last Stand,mutant marvel comic based on comic book superhuman beast,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Adventure Action Science Fiction Thriller,Brett Ratner
62211,Monsters University,monster dormitory games animation best friend,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Animation Family,Dan Scanlon
8373,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Science Fiction Action Adventure,Michael Bay
91314,Transformers: Age of Extinction,sequel alien transformers giant robot robot,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Science Fiction Action Adventure,Michael Bay
68728,Oz: The Great and Powerful,circus witch magic hope illusion,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Fantasy Adventure Family,Sam Raimi
102382,The Amazing Spider-Man 2,obsession marvel comic sequel based on comic book electrocution,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Action Adventure Fantasy,Marc Webb
20526,TRON: Legacy,artificial intelligence secret identity computer program dystopia computer,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Adventure Action Science Fiction,Joseph Kosinski
